,Open,High,Low,Close,Adj Close,Volume,Date,Company
45,716.97998,733.330017,715.119995,729.919983,729.919983,503600.0,2021-09-08,ALGN
46,734.460022,735.169983,723.780029,726.409973,726.409973,422800.0,2021-09-09,ALGN
47,730.219971,731.23999,718.75,720.669983,720.669983,344400.0,2021-09-10,ALGN
48,726.539978,726.539978,695.630005,710.679993,710.679993,502800.0,2021-09-13,ALGN
49,718.359985,724.640015,703.599976,706.450012,706.450012,441100.0,2021-09-14,ALGN
50,706.059998,713.849976,692.22998,710.309998,710.309998,844000.0,2021-09-15,ALGN
51,712.97998,731.200012,710.349976,728.289978,728.289978,656800.0,2021-09-16,ALGN
52,728.900024,730.609985,715.0,719.380005,719.380005,834200.0,2021-09-17,ALGN
53,708.02002,713.690002,698.030029,709.640015,709.640015,684100.0,2021-09-20,ALGN
54,717.140015,721.0,704.609985,709.150024,709.150024,646900.0,2021-09-21,ALGN
55,713.309998,725.27002,701.210022,716.609985,716.609985,447900.0,2021-09-22,ALGN
56,723.0,737.450012,720.179993,727.109985,727.109985,349700.0,2021-09-23,ALGN
57,718.469971,726.299988,715.289978,725.23999,725.23999,272100.0,2021-09-24,ALGN
58,716.590027,720.070007,693.390015,701.039978,701.039978,473300.0,2021-09-27,ALGN
59,692.070007,692.73999,672.650024,677.320007,677.320007,496000.0,2021-09-28,ALGN
60,679.400024,683.119995,671.440002,673.059998,673.059998,356700.0,2021-09-29,ALGN
61,684.619995,684.619995,665.409973,665.429993,665.429993,433500.0,2021-09-30,ALGN
62,672.0,674.950012,648.200012,662.059998,662.059998,566600.0,2021-10-01,ALGN
63,658.599976,659.380005,637.559998,640.400024,640.400024,520800.0,2021-10-04,ALGN
64,643.809998,657.159973,642.190002,648.580017,648.580017,496500.0,2021-10-05,ALGN
65,640.599976,651.349976,638.590027,650.650024,650.650024,369800.0,2021-10-06,ALGN
66,653.619995,671.900024,653.619995,661.409973,661.409973,488300.0,2021-10-07,ALGN
67,663.969971,664.450012,641.820007,643.559998,643.559998,258300.0,2021-10-08,ALGN
68,638.0,644.280029,631.140015,631.849976,631.849976,252300.0,2021-10-11,ALGN
69,632.0,632.380005,621.869995,627.429993,627.429993,505700.0,2021-10-12,ALGN
70,608.609985,608.609985,572.51001,596.219971,596.219971,2044000.0,2021-10-13,ALGN
71,600.98999,604.0,586.190002,597.719971,597.719971,904200.0,2021-10-14,ALGN
72,605.25,606.950012,587.059998,589.609985,589.609985,742500.0,2021-10-15,ALGN
73,586.450012,596.98999,580.109985,595.130005,595.130005,560700.0,2021-10-18,ALGN
74,601.390015,603.679993,592.659973,594.27002,594.27002,393000.0,2021-10-19,ALGN
75,597.059998,608.72998,592.52002,608.200012,608.200012,532800.0,2021-10-20,ALGN
76,611.190002,618.01001,597.599976,599.48999,599.48999,780700.0,2021-10-21,ALGN
77,599.0,600.150024,586.900024,590.559998,590.559998,877200.0,2021-10-22,ALGN
78,590.0,597.0,583.650024,589.809998,589.809998,1110100.0,2021-10-25,ALGN
79,594.659973,603.340027,586.799988,593.299988,593.299988,793800.0,2021-10-26,ALGN
80,591.280029,615.25,583.380005,604.390015,604.390015,1577900.0,2021-10-27,ALGN
81,658.390015,662.0,607.280029,631.799988,631.799988,1927900.0,2021-10-28,ALGN
82,629.179993,629.179993,619.700012,624.369995,624.369995,987100.0,2021-10-29,ALGN
83,631.5,667.099976,631.5,661.460022,661.460022,1246000.0,2021-11-01,ALGN
84,663.0,678.719971,649.190002,667.059998,667.059998,606900.0,2021-11-02,ALGN
85,667.059998,675.75,657.869995,673.609985,673.609985,426000.0,2021-11-03,ALGN
86,673.460022,680.789978,670.869995,679.26001,679.26001,355200.0,2021-11-04,ALGN
87,680.400024,687.27002,675.429993,687.190002,687.190002,383000.0,2021-11-05,ALGN
88,690.469971,711.609985,682.880005,710.869995,710.869995,876900.0,2021-11-08,ALGN
89,711.179993,713.330017,699.47998,711.02002,711.02002,779500.0,2021-11-09,ALGN
90,702.169983,709.97998,687.099976,689.609985,689.609985,645300.0,2021-11-10,ALGN
91,696.98999,697.890015,681.659973,685.909973,685.909973,340000.0,2021-11-11,ALGN
92,688.98999,693.340027,686.309998,687.799988,687.799988,250200.0,2021-11-12,ALGN
93,692.059998,692.059998,674.51001,680.190002,680.190002,325100.0,2021-11-15,ALGN
94,682.419983,691.950012,679.0,689.059998,689.059998,329500.0,2021-11-16,ALGN
95,689.059998,698.809998,680.340027,692.320007,692.320007,348900.0,2021-11-17,ALGN
96,692.539978,695.940002,677.960022,683.830017,683.830017,322200.0,2021-11-18,ALGN
97,685.549988,691.960022,679.179993,683.289978,683.289978,433500.0,2021-11-19,ALGN
98,678.340027,682.97998,665.359985,669.679993,669.679993,463300.0,2021-11-22,ALGN
99,665.969971,666.469971,650.400024,657.26001,657.26001,419800.0,2021-11-23,ALGN
100,653.159973,657.73999,642.549988,653.200012,653.200012,528000.0,2021-11-24,ALGN
101,653.200012,654.150024,627.0,634.219971,634.219971,444500.0,2021-11-26,ALGN
102,636.859985,642.140015,629.539978,634.469971,634.469971,537200.0,2021-11-29,ALGN
103,632.609985,638.940002,607.469971,611.530029,611.530029,972800.0,2021-11-30,ALGN
104,622.919983,624.0,601.72998,602.289978,602.289978,486000.0,2021-12-01,ALGN
105,602.799988,628.72998,595.070007,624.929993,624.929993,732900.0,2021-12-02,ALGN
106,629.359985,632.570007,605.48999,619.75,619.75,536100.0,2021-12-03,ALGN
107,622.0,641.280029,615.0,638.919983,638.919983,470800.0,2021-12-06,ALGN
108,649.159973,675.210022,648.659973,666.719971,666.719971,581500.0,2021-12-07,ALGN
109,670.27002,676.940002,663.669983,675.219971,675.219971,303700.0,2021-12-08,ALGN
110,670.0,688.599976,670.0,673.590027,673.590027,354900.0,2021-12-09,ALGN
111,672.559998,683.830017,660.590027,668.119995,668.119995,394400.0,2021-12-10,ALGN
112,665.719971,666.5,628.77002,629.909973,629.909973,527800.0,2021-12-13,ALGN
113,620.200012,631.820007,598.919983,605.72998,605.72998,668800.0,2021-12-14,ALGN
114,605.72998,610.200012,591.059998,602.01001,602.01001,1132300.0,2021-12-15,ALGN
115,610.01001,611.320007,592.409973,595.059998,595.059998,830100.0,2021-12-16,ALGN
116,592.469971,619.0,586.909973,609.059998,609.059998,1006600.0,2021-12-17,ALGN
117,597.830017,599.950012,581.289978,593.940002,593.940002,544000.0,2021-12-20,ALGN
118,601.47998,630.840027,599.869995,628.719971,628.719971,550700.0,2021-12-21,ALGN
119,623.200012,646.599976,616.869995,645.890015,645.890015,377800.0,2021-12-22,ALGN
120,648.280029,663.609985,647.210022,653.97998,653.97998,387400.0,2021-12-23,ALGN
121,656.719971,663.619995,651.789978,661.070007,661.070007,257300.0,2021-12-27,ALGN
122,667.469971,668.820007,652.330017,656.369995,656.369995,269100.0,2021-12-28,ALGN
123,649.919983,660.0,649.919983,653.340027,653.340027,231800.0,2021-12-29,ALGN
124,658.570007,671.01001,656.440002,662.219971,662.219971,261200.0,2021-12-30,ALGN
125,659.469971,674.890015,655.619995,657.179993,657.179993,464300.0,2021-12-31,ALGN
126,656.299988,658.5,641.119995,648.049988,648.049988,428200.0,2022-01-03,ALGN
127,645.859985,652.190002,617.369995,623.5,623.5,552000.0,2022-01-04,ALGN
128,616.950012,621.039978,578.25,578.840027,578.840027,980000.0,2022-01-05,ALGN
129,575.47998,587.48999,563.599976,567.619995,567.619995,1149400.0,2022-01-06,ALGN
130,567.130005,567.130005,545.859985,546.98999,546.98999,1190500.0,2022-01-07,ALGN
131,533.02002,549.559998,524.340027,548.909973,548.909973,1388400.0,2022-01-10,ALGN
132,547.450012,561.559998,535.320007,559.640015,559.640015,1048000.0,2022-01-11,ALGN
133,562.23999,562.26001,534.52002,539.469971,539.469971,841200.0,2022-01-12,ALGN
134,542.669983,547.969971,523.01001,524.780029,524.780029,914000.0,2022-01-13,ALGN
135,519.929993,529.409973,510.829987,524.630005,524.630005,809500.0,2022-01-14,ALGN
136,509.25,511.98999,487.5,489.559998,489.559998,1390900.0,2022-01-18,ALGN
137,491.790009,506.98999,486.109985,497.589996,497.589996,1352800.0,2022-01-19,ALGN
138,502.269989,518.409973,489.799988,490.709991,490.709991,710500.0,2022-01-20,ALGN
139,486.48999,488.670013,462.320007,462.779999,462.779999,1064000.0,2022-01-21,ALGN
140,453.73999,475.320007,432.089996,474.429993,474.429993,1093300.0,2022-01-24,ALGN
141,464.049988,477.790009,458.070007,467.98999,467.98999,1083100.0,2022-01-25,ALGN
142,475.0,491.480011,451.619995,457.359985,457.359985,876900.0,2022-01-26,ALGN
143,467.700012,476.76001,451.619995,455.619995,455.619995,848500.0,2022-01-27,ALGN
144,454.720001,467.5,442.369995,463.959991,463.959991,1039800.0,2022-01-28,ALGN
145,479.220001,498.690002,478.0,494.959991,494.959991,1353300.0,2022-01-31,ALGN
146,494.179993,510.450012,494.179993,508.559998,508.559998,898500.0,2022-02-01,ALGN
147,511.23999,521.840027,498.0,505.619995,505.619995,1593900.0,2022-02-02,ALGN
148,480.359985,518.0,479.470001,503.309998,503.309998,1890700.0,2022-02-03,ALGN
149,496.890015,497.359985,474.269989,489.859985,489.859985,1471300.0,2022-02-04,ALGN
150,490.0,509.410004,489.079987,500.220001,500.220001,864300.0,2022-02-07,ALGN
151,496.149994,516.719971,491.0,515.48999,515.48999,913700.0,2022-02-08,ALGN
152,522.309998,548.98999,522.309998,545.940002,545.940002,1246500.0,2022-02-09,ALGN
